Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton)
2024,Jawa Barat,Kab. Bandung,"1,312.21","478,956.72"
2024,Jawa Barat,Kab. Garut,"1,145.92","418,262.61"
2024,Jawa Barat,Kab. Tasikmalaya,698.29,"254,875.20"
2024,Jawa Barat,Kab. Ciamis,501.02,"182,871.42"
2024,Jawa Barat,Kab. Cirebon,"1,274.64","465,242.92"
2024,Jawa Barat,Kab. Sumedang,482.27,"176,030.01"
2024,Jawa Barat,Kab. Indramayu,"1,136.54","414,835.78"
2024,Jawa Barat,Kab. Purwakarta,418.28,"152,672.78"
2024,Jawa Barat,Kab. Karawang,"1,066.97","389,444.24"
2024,Jawa Barat,Kab. Bekasi,"1,683.46","614,462.32"
2024,Jawa Barat,Kota Bogor,779.81,"284,631.60"
2024,Jawa Barat,Kota Bandung,"1,496.31","546,151.49"
2024,Jawa Barat,Kota Cirebon,216.35,"78,969.28"
2024,Jawa Barat,Kota Cimahi,231.96,"84,666.28"
2024,Jawa Barat,Kota Tasikmalaya,333.44,"121,705.09"
2024,Jawa Tengah,Kab. Banyumas,548.57,"200,228.74"
2024,Jawa Tengah,Kab. Banjarnegara,427.34,"155,978.66"
2024,Jawa Tengah,Kab. Wonosobo,363.87,"132,810.94"
2024,Jawa Tengah,Kab. Magelang,665.96,"243,075.58"
2024,Jawa Tengah,Kab. Boyolali,298.04,"108,784.91"
2024,Jawa Tengah,Kab. Sukoharjo,365.58,"133,436.70"
2024,Jawa Tengah,Kab. Sragen,598.49,"218,449.22"
2024,Jawa Tengah,Kab. Rembang,265.11,"96,766.90"
2024,Jawa Tengah,Kab. Pati,679.68,"248,083.93"
2024,Jawa Tengah,Kab. Kudus,437.40,"159,650.27"
2024,Jawa Tengah,Kab. Jepara,419.18,"153,000.41"
2024,Jawa Tengah,Kab. Demak,626.49,"228,667.03"
2024,Jawa Tengah,Kab. Semarang,538.96,"196,718.94"
2024,Jawa Tengah,Kab. Kendal,433.66,"158,286.48"
2024,Jawa Tengah,Kab. Brebes,"1,021.54","372,861.55"
2024,Jawa Tengah,Kota Magelang,80.86,"29,515.10"
2024,Jawa Tengah,Kota Surakarta,420.17,"153,360.91"
2024,Jawa Tengah,Kota Salatiga,116.79,"42,629.82"
2024,Jawa Tengah,Kota Semarang,"1,189.71","434,243.97"
2024,Jawa Tengah,Kota Tegal,176.29,"64,346.14"
2024,Daerah Istimewa Yogyakarta,Kab. Kulon Progo,219.27,"80,033.90"
2024,Daerah Istimewa Yogyakarta,Kab. Bantul,434.05,"158,430.04"
2024,Daerah Istimewa Yogyakarta,Kab. Gunungkidul,368.00,"134,318.32"
2024,Daerah Istimewa Yogyakarta,Kab. Sleman,601.79,"219,653.64"
2024,Daerah Istimewa Yogyakarta,Kota Yogyakarta,300.56,"109,704.11"
2024,Jawa Timur,Kab. Pacitan,289.57,"105,691.50"
2024,Jawa Timur,Kab. Trenggalek,302.44,"110,391.91"
2024,Jawa Timur,Kab. Tulungagung,450.40,"164,395.27"
2024,Jawa Timur,Kab. Blitar,417.00,"152,206.64"
2024,Jawa Timur,Kab. Jember,835.52,"304,964.95"
2024,Jawa Timur,Kab. Banyuwangi,839.10,"306,270.96"
2024,Jawa Timur,Kab. Bondowoso,315.20,"115,049.02"
2024,Jawa Timur,Kab. Situbondo,256.63,"93,669.45"
2024,Jawa Timur,Kab. Probolinggo,465.54,"169,923.41"
2024,Jawa Timur,Kab. Sidoarjo,858.63,"313,401.68"
2024,Jawa Timur,Kab. Mojokerto,449.64,"164,117.17"
2024,Jawa Timur,Kab. Jombang,530.37,"193,583.44"
2024,Jawa Timur,Kab. Madiun,295.69,"107,927.58"
2024,Jawa Timur,Kab. Magetan,276.65,"100,976.23"
2024,Jawa Timur,Kab. Ngawi,370.68,"135,297.67"
2024,Jawa Timur,Kab. Tuban,528.51,"192,907.81"
2024,Jawa Timur,Kab. Lamongan,554.33,"202,331.91"
2024,Jawa Timur,Kab. Pamekasan,280.74,"102,470.10"
2024,Jawa Timur,Kab. Sumenep,364.55,"133,059.91"
2024,Jawa Timur,Kota Blitar,76.68,"27,988.20"
2024,Jawa Timur,Kota Malang,778.34,"284,095.41"
2024,Jawa Timur,Kota Probolinggo,121.53,"44,357.36"
2024,Jawa Timur,Kota Pasuruan,148.87,"54,335.88"
2024,Jawa Timur,Kota Madiun,124.08,"45,287.39"
2024,Jawa Timur,Kota Surabaya,"1,805.57","659,033.63"
2024,Jawa Timur,Kota Batu,142.64,"52,063.84"
2024,Banten,Kab. Lebak,602.55,"219,931.19"
2024,Banten,Kab. Serang,"1,200.57","438,206.52"
2024,Banten,Kota Tangerang,"2,187.41","798,405.91"
2024,Banten,Kota Cilegon,286.93,"104,729.66"
2024,Banten,Kota Serang,617.31,"225,318.46"
2024,Banten,Kota Tangerang Selatan,"1,022.65","373,267.45"
2024,Bali,Kab. Jembrana,164.28,"59,962.20"
2024,Bali,Kab. Badung,547.43,"199,810.15"
2024,Bali,Kab. Gianyar,562.02,"205,137.00"
2024,Bali,Kab. Klungkung,111.38,"40,654.25"
2024,Bali,Kab. Bangli,113.86,"41,557.88"
2024,Bali,Kab. Karangasem,281.22,"102,643.48"
2024,Bali,Kab. Buleleng,413.37,"150,880.05"
2024,Bali,Kota Denpasar,"1,004.95","366,806.75"
2024,Nusa Tenggara Barat,Kab. Lombok Barat,301.46,"110,031.59"
2024,Nusa Tenggara Barat,Kab. Lombok Tengah,436.63,"159,368.34"
2024,Nusa Tenggara Barat,Kab. Lombok Timur,556.55,"203,141.77"
2024,Nusa Tenggara Barat,Kab. Sumbawa,251.00,"91,615.00"
2024,Nusa Tenggara Barat,Kab. Sumbawa Barat,61.43,"22,421.95"
2024,Nusa Tenggara Barat,Kab. Lombok Utara,108.79,"39,708.06"
2024,Nusa Tenggara Timur,Kab. Kupang,156.08,"56,970.66"
2024,Nusa Tenggara Timur,Kab. Timor Tengah Utara,108.51,"39,606.44"
2024,Nusa Tenggara Timur,Kab. Flores Timur,206.09,"75,221.76"
2024,Nusa Tenggara Timur,Kab. Ngada,120.07,"43,825.66"
2024,Nusa Tenggara Timur,Kab. Manggarai,149.38,"54,522.82"
2024,Nusa Tenggara Timur,Kab. Sumba Timur,59.71,"21,792.78"
2024,Nusa Tenggara Timur,Kab. Lembata,71.17,"25,975.96"
2024,Nusa Tenggara Timur,Kab. Rote Ndao,135.05,"49,291.78"
2024,Nusa Tenggara Timur,Kab. Manggarai Barat,141.47,"51,637.10"
2024,Nusa Tenggara Timur,Kab. Nagekeo,66.04,"24,104.31"
2024,Nusa Tenggara Timur,Kab. Sumba Tengah,36.19,"13,210.37"
2024,Nusa Tenggara Timur,Kab. Sumba Barat Daya,161.04,"58,778.32"
2024,Nusa Tenggara Timur,Kab. Malaka,76.40,"27,885.12"
2024,Nusa Tenggara Timur,Kota Kupang,233.32,"85,160.34"
2024,Kalimantan Barat,Kab. Mempawah,83.56,"30,500.63"
2024,Kalimantan Barat,Kab. Sanggau,253.78,"92,630.25"
2024,Kalimantan Barat,Kab. Ketapang,302.19,"110,297.78"
2024,Kalimantan Barat,Kab. Kapuas Hulu,137.46,"50,171.99"
2024,Kalimantan Barat,Kab. Bengkayang,119.59,"43,650.93"
2024,Kalimantan Barat,Kab. Landak,163.83,"59,797.95"
2024,Kalimantan Barat,Kab. Melawi,85.33,"31,145.01"
2024,Kalimantan Barat,Kab. Kayong Utara,65.55,"23,925.75"
2024,Kalimantan Barat,Kab. Kubu Raya,445.21,"162,500.56"
2024,Kalimantan Barat,Kota Pontianak,411.96,"150,366.28"
2024,Kalimantan Barat,Kota Singkawang,97.21,"35,483.20"
2024,Kalimantan Tengah,Kab. Kotawaringin Barat,139.87,"51,052.55"
2024,Kalimantan Tengah,Kab. Kotawaringin Timur,239.41,"87,386.06"
2024,Kalimantan Tengah,Kab. Kapuas,212.59,"77,596.45"
2024,Kalimantan Tengah,Kab. Barito Selatan,67.98,"24,813.80"
2024,Kalimantan Tengah,Kab. Barito Utara,65.30,"23,833.48"
2024,Kalimantan Tengah,Kab. Seruyan,85.65,"31,262.98"
2024,Kalimantan Tengah,Kab. Sukamara,25.77,"9,406.93"
2024,Kalimantan Tengah,Kab. Gunung Mas,97.68,"35,653.47"
2024,Kalimantan Tengah,Kab. Pulang Pisau,69.10,"25,221.50"
2024,Kalimantan Tengah,Kab. Murung Raya,58.94,"21,512.55"
2024,Kalimantan Tengah,Kab. Barito Timur,46.92,"17,127.55"
2024,Kalimantan Tengah,Kota Palangkaraya,160.25,"58,491.25"
2024,Kalimantan Selatan,Kab. Tanah Laut,145.65,"53,161.08"
2024,Kalimantan Selatan,Kab. Kotabaru,181.30,"66,175.43"
2024,Kalimantan Selatan,Kab. Banjar,365.43,"133,381.04"
2024,Kalimantan Selatan,Kab. Barito Kuala,100.28,"36,602.13"
2024,Kalimantan Selatan,Kab. Tapin,79.16,"28,892.38"
2024,Kalimantan Selatan,Kab. Hulu Sungai Selatan,97.60,"35,624.29"
2024,Kalimantan Selatan,Kab. Hulu Sungai Tengah,107.34,"39,180.56"
2024,Kalimantan Selatan,Kab. Hulu Sungai Utara,94.82,"34,609.15"
2024,Kalimantan Selatan,Kab. Tabalong,118.06,"43,092.79"
2024,Kalimantan Selatan,Kab. Tanah Bumbu,173.17,"63,206.32"
2024,Kalimantan Selatan,Kab. Balangan,58.38,"21,307.04"
2024,Kalimantan Selatan,Kota Banjarmasin,475.75,"173,647.25"
2024,Kalimantan Selatan,Kota Banjarbaru,190.93,"69,690.95"
2024,Kalimantan Timur,Kab. Paser,121.37,"44,299.90"
2024,Kalimantan Timur,Kab. Kutai Kartanegara,370.41,"135,200.79"
2024,Kalimantan Timur,Kab. Berau,144.47,"52,732.10"
2024,Kalimantan Timur,Kab. Kutai Barat,72.05,"26,297.37"
2024,Kalimantan Timur,Kab. Kutai Timur,216.66,"79,082.18"
2024,Kalimantan Timur,Kab. Penajam Paser Utara,99.80,"36,427.00"
2024,Kalimantan Timur,Kab. Mahakam Ulu,18.48,"6,744.85"
2024,Kalimantan Timur,Kota Balikpapan,534.66,"195,151.92"
2024,Kalimantan Timur,Kota Samarinda,603.31,"220,209.83"
2024,Kalimantan Timur,Kota Bontang,106.75,"38,962.93"
2024,Kalimantan Utara,Kab. Bulungan,84.06,"30,681.17"
2024,Kalimantan Utara,Kab. Nunukan,45.76,"16,703.80"
2024,Kalimantan Utara,Kab. Tana Tidung,11.46,"4,182.61"
2024,Sulawesi Utara,Kab. Bolaang Mongondow,127.39,"46,496.44"
2024,Sulawesi Utara,Kab. Minahasa,175.13,"63,922.63"
2024,Sulawesi Utara,Kab. Kepulauan Sangihe,56.25,"20,529.64"
2024,Sulawesi Utara,Kab. Kepulauan Talaud,40.26,"14,694.17"
2024,Sulawesi Utara,Kab. Minahasa Selatan,97.84,"35,710.14"
2024,Sulawesi Utara,Kab. Minahasa Utara,120.48,"43,976.48"
2024,Sulawesi Utara,Kab. Minahasa Tenggara,47.72,"17,418.53"
2024,Sulawesi Utara,Kab. Bolaang Mongondow Utara,34.44,"12,572.21"
2024,Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,29.15,"10,640.92"
2024,Sulawesi Utara,Kab. Bolaang Mongondow Timur,37.07,"13,529.97"
2024,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,30.15,"11,004.60"
2024,Sulawesi Utara,Kota Manado,291.20,"106,288.37"
2024,Sulawesi Utara,Kota Bitung,159.06,"58,055.22"
2024,Sulawesi Utara,Kota Tomohon,51.54,"18,810.64"
