Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2024,Banten,Kab. Lebak,"219,931.19","6,920.43",3.15,"47,450.00",21.57,"54,370.43",24.72,"6,464.86",,2.94,P 1
2024,Banten,Kab. Serang,"438,206.52",24.12,0.01,"13,818.26",3.15,"13,842.38",3.16,24.12,"1,189.80",0.28,P 1
2024,Banten,Kota Tangerang,"798,405.91","222,504.13",27.87,"573,415.00",71.82,"795,919.13",99.69,"219,356.83",,27.47,P 1
2024,Banten,Kota Cilegon,"104,729.66","2,101.19",2.01,"81,395.00",77.72,"83,496.19",79.73,"2,101.19",,2.01,P 1
2024,Banten,Kota Serang,"225,318.46","21,358.26",9.48,"135,707.00",60.23,"157,065.26",69.71,"21,351.96",,9.48,P 1
2024,Banten,Kota Tangerang Selatan,"373,267.45","96,016.05",25.72,"265,428.00",71.11,"361,444.05",96.83,"95,991.19","5,183.00",27.11,P 1
2024,Bali,Kab. Jembrana,"59,962.20","13,844.48",23.09,"33,981.50",56.67,"47,825.98",79.76,"13,020.49",,21.71,P 1
2024,Bali,Kab. Badung,"199,810.15","49,141.35",24.59,"87,670.08",43.88,"136,811.43",68.47,"48,652.25","8,392.08",28.55,P 1
2024,Bali,Kab. Gianyar,"205,137.00","21,161.69",10.32,"128,355.90",62.57,"149,517.59",72.89,"20,649.04",,10.07,P 1
2024,Bali,Kab. Klungkung,"40,654.25","10,186.86",25.06,"29,887.29",73.52,"40,074.15",98.57,"10,185.51","5,933.81",39.65,P 1
2024,Bali,Kab. Bangli,"41,557.88","9,204.62",22.15,"30,843.23",74.22,"40,047.85",96.37,"7,854.42",171.55,19.31,P 1
2024,Bali,Kab. Karangasem,"102,643.48","4,975.21",4.85,"2,046.45",1.99,"7,021.66",6.84,"4,775.30",,4.65,P 1
2024,Bali,Kab. Buleleng,"150,880.05","23,497.28",15.57,"60,955.00",40.4,"84,452.28",55.97,"23,444.86",730,16.02,P 1
2024,Bali,Kota Denpasar,"366,806.75","58,926.93",16.06,"294,142.66",80.19,"353,069.60",96.25,"55,598.13","23,670.36",21.61,P 1
2024,Nusa Tenggara Barat,Kab. Lombok Barat,"110,031.59","1,529.72",1.39,"25,206.90",22.91,"26,736.62",24.3,"1,136.25",0,1.03,P 1
2024,Nusa Tenggara Barat,Kab. Lombok Tengah,"159,368.34","29,888.11",18.75,"27,557.50",17.29,"57,445.61",36.05,"29,874.60","2,737.50",20.46,P 1
2024,Nusa Tenggara Barat,Kab. Lombok Timur,"203,141.77","26,198.91",12.9,"39,679.15",19.53,"65,878.06",32.43,"26,032.83",186.15,12.91,P 1
2024,Nusa Tenggara Barat,Kab. Sumbawa,"91,615.00","1,576.33",1.72,"48,545.00",52.99,"50,121.32",54.71,"1,546.13",,1.69,P 1
2024,Nusa Tenggara Barat,Kab. Sumbawa Barat,"22,421.95","4,968.72",22.16,"5,078.98",22.65,"10,047.70",44.81,"4,968.72",,22.16,P 1
2024,Nusa Tenggara Barat,Kab. Lombok Utara,"39,708.06","6,007.07",15.13,"21,933.69",55.24,"27,940.76",70.37,"1,090.31",,2.75,P 1
2024,Nusa Tenggara Timur,Kab. Kupang,"56,970.66",53.94,0.09,,,53.94,0.09,0.85,,0,P 1
2024,Nusa Tenggara Timur,Kab. Timor Tengah Utara,"39,606.44",0,0,"1,927.20",4.87,"1,927.20",4.87,,,0,P 1
2024,Nusa Tenggara Timur,Kab. Flores Timur,"75,221.76",299.09,0.4,"6,504.30",8.65,"6,803.39",9.04,286.31,,0.38,P 1
2024,Nusa Tenggara Timur,Kab. Ngada,"43,825.66",60.4,0.14,"7,847.50",17.91,"7,907.90",18.04,,,0,P 1
2024,Nusa Tenggara Timur,Kab. Manggarai,"54,522.82",,,"8,847.05",16.23,"8,847.05",16.23,,,0,P 1
2024,Nusa Tenggara Timur,Kab. Sumba Timur,"21,792.78",0,0,"16,754.60",76.88,"16,754.60",76.88,,329.6,1.51,P 1
2024,Nusa Tenggara Timur,Kab. Lembata,"25,975.96",17.19,0.07,"1,887.05",7.26,"1,904.24",7.33,7.8,,0.03,P 1
2024,Nusa Tenggara Timur,Kab. Rote Ndao,"49,291.78","1,037.70",2.11,"2,957.05",6,"3,994.74",8.1,"1,037.70",,2.11,P 1
2024,Nusa Tenggara Timur,Kab. Manggarai Barat,"51,637.10","1,400.21",2.71,"8,030.00",15.55,"9,430.21",18.26,"1,400.21",,2.71,P 1
2024,Nusa Tenggara Timur,Kab. Nagekeo,"24,104.31",705.52,2.93,,,705.52,2.93,694.7,,2.88,P 1
2024,Nusa Tenggara Timur,Kab. Sumba Tengah,"13,210.37",22.48,0.17,"3,613.50",27.35,"3,635.98",27.52,22.27,,0.17,P 1
2024,Nusa Tenggara Timur,Kab. Sumba Barat Daya,"58,778.32",2.56,0,,,2.56,0,2.56,,0,P 1
2024,Nusa Tenggara Timur,Kab. Malaka,"27,885.12",0,0,,,0,0,,,0,P 1
2024,Nusa Tenggara Timur,Kota Kupang,"85,160.34","6,909.85",8.11,"60,257.40",70.76,"67,167.24",78.87,"6,782.42",,7.96,P 1
2024,Kalimantan Barat,Kab. Mempawah,"30,500.63",38.06,0.12,"9,345.82",30.64,"9,383.89",30.77,0,,0,P 1
2024,Kalimantan Barat,Kab. Sanggau,"92,630.25",34.58,0.04,"20,654.77",22.3,"20,689.35",22.34,5.38,,0.01,P 1
2024,Kalimantan Barat,Kab. Ketapang,"110,297.78",46.34,0.04,"15,596.45",14.14,"15,642.79",14.18,41.34,,0.04,P 1
2024,Kalimantan Barat,Kab. Kapuas Hulu,"50,171.99",423.04,0.84,"9,387.80",18.71,"9,810.83",19.55,,,0,P 1
2024,Kalimantan Barat,Kab. Bengkayang,"43,650.93",45.74,0.1,"6,504.30",14.9,"6,550.04",15.01,,,0,P 1
2024,Kalimantan Barat,Kab. Landak,"59,797.95",284.7,0.48,"8,705.25",14.56,"8,989.95",15.03,284.7,,0.48,P 1
2024,Kalimantan Barat,Kab. Melawi,"31,145.01","2,054.48",6.6,"5,299.80",17.02,"7,354.28",23.61,"2,054.48",,6.6,P 1
2024,Kalimantan Barat,Kab. Kayong Utara,"23,925.75",778.09,3.25,"8,455.59",35.34,"9,233.68",38.59,778.09,,3.25,P 1
2024,Kalimantan Barat,Kab. Kubu Raya,"162,500.56",34.81,0.02,"26,280.00",16.17,"26,314.81",16.19,34.81,,0.02,P 1
2024,Kalimantan Barat,Kota Pontianak,"150,366.28","37,676.92",25.06,"112,431.50",74.77,"150,108.42",99.83,"34,224.03",553.26,23.13,P 1
2024,Kalimantan Barat,Kota Singkawang,"35,483.20","3,949.79",11.13,"30,816.29",86.85,"34,766.08",97.98,"3,949.79",39.49,11.24,P 1
2024,Kalimantan Tengah,Kab. Kotawaringin Barat,"51,052.55","9,735.77",19.07,"33,365.85",65.36,"43,101.63",84.43,"9,616.36","1,944.83",22.65,P 1
2024,Kalimantan Tengah,Kab. Kotawaringin Timur,"87,386.06",104.76,0.12,"26,280.00",30.07,"26,384.76",30.19,96.54,,0.11,P 1
2024,Kalimantan Tengah,Kab. Kapuas,"77,596.45","1,142.37",1.47,"9,201.53",11.86,"10,343.90",13.33,"1,101.91",9.63,1.43,P 1
2024,Kalimantan Tengah,Kab. Barito Selatan,"24,813.80","1,761.78",7.1,"7,011.65",28.26,"8,773.43",35.36,"1,434.80",,5.78,P 1
2024,Kalimantan Tengah,Kab. Barito Utara,"23,833.48",697.15,2.93,"14,149.96",59.37,"14,847.11",62.3,697.15,57.31,3.17,P 1
2024,Kalimantan Tengah,Kab. Seruyan,"31,262.98",18.26,0.06,"5,489.60",17.56,"5,507.86",17.62,,189.8,0.61,P 1
2024,Kalimantan Tengah,Kab. Sukamara,"9,406.93","1,907.12",20.27,584,6.21,"2,491.12",26.48,"1,800.65",,19.14,P 1
2024,Kalimantan Tengah,Kab. Gunung Mas,"35,653.47",0,0,"3,577.00",10.03,"3,577.00",10.03,0,,0,P 1
2024,Kalimantan Tengah,Kab. Pulang Pisau,"25,221.50","1,070.46",4.24,"1,547.23",6.13,"2,617.69",10.38,"1,048.65",,4.16,P 1
2024,Kalimantan Tengah,Kab. Murung Raya,"21,512.55","3,781.77",17.58,"4,599.00",21.38,"8,380.77",38.96,"3,781.77",,17.58,P 1
2024,Kalimantan Tengah,Kab. Barito Timur,"17,127.55",321.33,1.88,"4,843.55",28.28,"5,164.88",30.16,321.33,,1.88,P 1
2024,Kalimantan Tengah,Kota Palangkaraya,"58,491.25","16,261.75",27.8,"41,573.50",71.08,"57,835.25",98.88,"15,468.88",,26.45,P 1
2024,Kalimantan Selatan,Kab. Tanah Laut,"53,161.08","5,559.41",10.46,"13,207.71",24.84,"18,767.11",35.3,21.54,0,0.04,P 1
2024,Kalimantan Selatan,Kab. Kotabaru,"66,175.43","2,411.76",3.64,"19,670.04",29.72,"22,081.79",33.37,"2,079.85",11.14,3.16,P 1
2024,Kalimantan Selatan,Kab. Banjar,"133,381.04","24,368.64",18.27,"71,266.25",53.43,"95,634.89",71.7,"24,177.73",91.25,18.2,P 1
2024,Kalimantan Selatan,Kab. Barito Kuala,"36,602.13","9,109.03",24.89,"18,461.70",50.44,"27,570.73",75.33,"7,975.13","1,708.20",26.46,P 1
2024,Kalimantan Selatan,Kab. Tapin,"28,892.38","5,098.42",17.65,"17,809.81",61.64,"22,908.23",79.29,"4,881.59",340.91,18.08,P 1
2024,Kalimantan Selatan,Kab. Hulu Sungai Selatan,"35,624.29","3,652.76",10.25,"22,726.73",63.8,"26,379.49",74.05,"2,714.16","2,469.23",14.55,P 1
2024,Kalimantan Selatan,Kab. Hulu Sungai Tengah,"39,180.56","9,118.98",23.27,"24,468.31",62.45,"33,587.29",85.72,"8,645.96",360.06,22.99,P 1
2024,Kalimantan Selatan,Kab. Hulu Sungai Utara,"34,609.15",14.66,0.04,"17,014.80",49.16,"17,029.45",49.21,14.66,5.8,0.06,P 1
2024,Kalimantan Selatan,Kab. Tabalong,"43,092.79","7,223.40",16.76,"31,871.80",73.96,"39,095.20",90.72,"4,406.57",73,10.4,P 1
2024,Kalimantan Selatan,Kab. Tanah Bumbu,"63,206.32","10,786.53",17.07,"48,070.14",76.05,"58,856.67",93.12,"10,655.36",,16.86,P 1
2024,Kalimantan Selatan,Kab. Balangan,"21,307.04","4,130.13",19.38,"15,266.13",71.65,"19,396.25",91.03,"3,962.15",,18.6,P 1
2024,Kalimantan Selatan,Kota Banjarmasin,"173,647.25","37,910.53",21.83,"132,237.25",76.15,"170,147.78",97.98,"36,881.36",337.19,21.43,P 1
2024,Kalimantan Selatan,Kota Banjarbaru,"69,690.95","19,471.52",27.94,"50,193.70",72.02,"69,665.22",99.96,"16,049.97",144.68,23.24,P 1
2024,Kalimantan Timur,Kab. Paser,"44,299.90","4,396.04",9.92,"27,528.26",62.14,"31,924.30",72.06,"3,301.84",98.51,7.68,P 1
2024,Kalimantan Timur,Kab. Kutai Kartanegara,"135,200.79","21,197.61",15.68,"78,337.36",57.94,"99,534.97",73.62,"19,531.65",91.76,14.51,P 1
2024,Kalimantan Timur,Kab. Berau,"52,732.10","9,202.09",17.45,"33,921.88",64.33,"43,123.96",81.78,"8,522.95",24.42,16.21,P 1
2024,Kalimantan Timur,Kab. Kutai Barat,"26,297.37",24.71,0.09,"10,831.23",41.19,"10,855.94",41.28,24.71,,0.09,P 1
2024,Kalimantan Timur,Kab. Kutai Timur,"79,082.18","7,390.65",9.35,"39,226.37",49.6,"46,617.02",58.95,"6,988.53","1,650.17",10.92,P 1
2024,Kalimantan Timur,Kab. Penajam Paser Utara,"36,427.00","5,190.79",14.25,"18,551.64",50.93,"23,742.43",65.18,"2,299.24",279.74,7.08,P 1
2024,Kalimantan Timur,Kab. Mahakam Ulu,"6,744.85",91.25,1.35,"2,482.00",36.8,"2,573.25",38.15,91.25,,1.35,P 1
2024,Kalimantan Timur,Kota Balikpapan,"195,151.92","48,821.26",25.02,"141,064.90",72.28,"189,886.16",97.3,"39,299.92",627.5,20.46,P 1
2024,Kalimantan Timur,Kota Samarinda,"220,209.83","18,145.92",8.24,"87,820.06",39.88,"105,965.98",48.12,"17,100.27",304.01,7.9,P 1
2024,Kalimantan Timur,Kota Bontang,"38,962.93","11,127.39",28.56,"27,710.07",71.12,"38,837.46",99.68,"10,644.59",254.77,27.97,P 1
2024,Kalimantan Utara,Kab. Bulungan,"30,681.17",8.03,0.03,"29,045.97",94.67,"29,054.00",94.7,0,0,0,P 1
2024,Kalimantan Utara,Kab. Nunukan,"16,703.80","2,812.79",16.84,"7,316.02",43.8,"10,128.81",60.64,"2,626.39",16.02,15.82,P 1
2024,Kalimantan Utara,Kab. Tana Tidung,"4,182.61",29.71,0.71,"2,839.01",67.88,"2,868.72",68.59,29.71,,0.71,P 1
2024,Sulawesi Utara,Kab. Bolaang Mongondow,"46,496.44",18.69,0.04,"2,920.00",6.28,"2,938.69",6.32,,,0,P 1
2024,Sulawesi Utara,Kab. Minahasa,"63,922.63","17,595.18",27.53,"41,763.30",65.33,"59,358.48",92.86,"17,496.40",,27.37,P 1
2024,Sulawesi Utara,Kab. Kepulauan Sangihe,"20,529.64",392.76,1.91,"9,084.85",44.25,"9,477.61",46.17,358.21,,1.74,P 1
2024,Sulawesi Utara,Kab. Kepulauan Talaud,"14,694.17",0.24,0,919.07,6.25,919.31,6.26,,,0,P 1
2024,Sulawesi Utara,Kab. Minahasa Selatan,"35,710.14","1,255.70",3.52,"11,869.80",33.24,"13,125.50",36.76,803.42,919.8,4.83,P 1
2024,Sulawesi Utara,Kab. Minahasa Utara,"43,976.48","1,932.17",4.39,"23,849.28",54.23,"25,781.46",58.63,"1,825.00",0.18,4.15,P 1
2024,Sulawesi Utara,Kab. Minahasa Tenggara,"17,418.53",380.08,2.18,"4,641.70",26.65,"5,021.78",28.83,18,6.21,0.14,P 1
2024,Sulawesi Utara,Kab. Bolaang Mongondow Utara,"12,572.21",32.3,0.26,"6,626.58",52.71,"6,658.87",52.97,6.94,1.83,0.07,P 1
2024,Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,"10,640.92",145.73,1.37,"3,358.00",31.56,"3,503.73",32.93,116.8,,1.1,P 1
2024,Sulawesi Utara,Kab. Bolaang Mongondow Timur,"13,529.97",500.05,3.7,,,500.05,3.7,,,0,P 1
2024,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,"11,004.60",164.25,1.49,"4,818.00",43.78,"4,982.25",45.27,161.7,,1.47,P 1
2024,Sulawesi Utara,Kota Manado,"106,288.37","7,639.21",7.19,"89,790.00",84.48,"97,429.21",91.66,"7,377.98",,6.94,P 1
2024,Sulawesi Utara,Kota Bitung,"58,055.22","1,655.23",2.85,"41,245.00",71.04,"42,900.23",73.9,8.6,,0.01,P 1
2024,Sulawesi Utara,Kota Tomohon,"18,810.64",577.72,3.07,"13,505.00",71.79,"14,082.72",74.87,54.9,,0.29,P 1
2024,Sulawesi Utara,Kota Kotamobagu,"31,626.81","2,542.70",8.04,"23,095.37",73.02,"25,638.07",81.06,"2,446.54",160.6,8.24,P 1
2024,Sulawesi Tengah,Kab. Morowali,"31,107.13",754.65,2.43,"2,663.32",8.56,"3,417.98",10.99,691.53,14.4,2.27,P 1
2024,Sulawesi Tengah,Kab. Banggai Kepulauan,"22,207.33","1,049.78",4.73,"3,084.25",13.89,"4,134.03",18.62,27.65,,0.12,P 1
2024,Sulawesi Tengah,Kab. Parigi Moutong,"83,415.46","4,380.14",5.25,"3,452.17",4.14,"7,832.31",9.39,"4,380.14",21.9,5.28,P 1
2024,Sulawesi Tengah,Kab. Banggai Laut,"14,124.59",219,1.55,"4,215.75",29.85,"4,434.75",31.4,219,,1.55,P 1
2024,Sulawesi Tengah,Kab. Morowali Utara,"27,490.71",26.16,0.1,"1,748.35",6.36,"1,774.51",6.45,14.24,,0.05,P 1
2024,Sulawesi Tengah,Kota Palu,"71,633.08","6,923.07",9.66,"53,538.20",74.74,"60,461.27",84.4,415.45,,0.58,P 1
2024,Sulawesi Selatan,Kab. Kepulauan Selayar,"20,746.60",205.81,0.99,"4,491.98",21.65,"4,697.78",22.64,205.81,8.78,1.03,P 1
2024,Sulawesi Selatan,Kab. Bulukumba,"67,943.00","5,627.09",8.28,"37,695.10",55.48,"43,322.20",63.76,"3,962.36",49.88,5.91,P 1
2024,Sulawesi Selatan,Kab. Bantaeng,"30,896.96","8,958.63",29,"10,931.75",35.38,"19,890.38",64.38,"8,860.11",897.9,31.58,P 1
2024,Sulawesi Selatan,Kab. Bone,"149,743.08","22,183.27",14.81,"86,946.65",58.06,"109,129.92",72.88,"21,630.84",,14.45,P 1
2024,Sulawesi Selatan,Kab. Maros,"56,827.14","5,895.25",10.37,"27,484.50",48.37,"33,379.75",58.74,"4,723.68",109.5,8.51,P 1
2024,Sulawesi Selatan,Kab. Pangkajene dan Kepulauan,"52,821.49","4,532.82",8.58,"20,367.00",38.56,"24,899.82",47.14,"4,529.28",292,9.13,P 1
2024,Sulawesi Selatan,Kab. Barru,"28,526.21","1,187.51",4.16,"12,200.34",42.77,"13,387.85",46.93,"1,187.51",23.94,4.25,P 1
2024,Sulawesi Selatan,Kab. Soppeng,"35,179.43","4,743.75",13.48,"22,808.85",64.84,"27,552.60",78.32,"3,896.90",142.35,11.48,P 1
2024,Sulawesi Selatan,Kab. Sidenreng Rappang,"48,288.33","8,251.24",17.09,"26,400.92",54.67,"34,652.16",71.76,"8,010.94",412.92,17.44,P 1
2024,Sulawesi Selatan,Kab. Pinrang,"68,522.47","10,008.17",14.61,"29,554.05",43.13,"39,562.22",57.74,"9,989.75",,14.58,P 1
2024,Sulawesi Selatan,Kab. Tana Toraja,"47,131.90",35.7,0.08,"14,829.25",31.46,"14,864.95",31.54,,0,0,P 1
2024,Sulawesi Selatan,Kab. Luwu Utara,"60,358.96",90,0.15,"7,424.10",12.3,"7,514.10",12.45,0,,0,P 1
2024,Sulawesi Selatan,Kab. Luwu Timur,"45,045.38","6,327.58",14.05,"14,681.03",32.59,"21,008.61",46.64,"5,829.60",81.03,13.12,P 1
2024,Sulawesi Selatan,Kab. Toraja Utara,"48,638.62","3,788.07",7.79,"10,585.00",21.76,"14,373.07",29.55,"3,491.39",,7.18,P 1
2024,Sulawesi Selatan,Kota Makassar,"387,470.48","1,290.13",0.33,"281,632.99",72.69,"282,923.12",73.02,"1,062.27",,0.27,P 1
2024,Sulawesi Selatan,Kota Parepare,"29,535.80","4,527.41",15.33,"21,589.75",73.1,"26,117.16",88.43,"2,019.88",,6.84,P 1
2024,Sulawesi Selatan,Kota Palopo,"32,398.50","2,640.97",8.15,"22,721.25",70.13,"25,362.22",78.28,"2,162.67",178.85,7.23,P 1
2024,Sulawesi Tenggara,Kab. Kolaka,"44,297.57","2,034.88",4.59,"22,120.83",49.94,"24,155.70",54.53,"2,034.88",38.33,4.68,P 1
2024,Sulawesi Tenggara,Kab. Muna,"34,770.63",974.05,2.8,"8,491.72",24.42,"9,465.77",27.22,387.08,,1.11,P 1
2024,Sulawesi Tenggara,Kab. Konawe Utara,"11,299.09",0,0,"1,541.76",13.64,"1,541.76",13.64,,,0,P 1
2024,Sulawesi Tenggara,Kab. Kolaka Timur,"20,651.85","1,116.76",5.41,"1,460.00",7.07,"2,576.76",12.48,"1,095.00",,5.3,P 1
2024,Sulawesi Tenggara,Kab. Buton Selatan,"8,527.64",0,0,"1,505.63",17.66,"1,505.63",17.66,,,0,P 1
2024,Sulawesi Tenggara,Kota Kendari,"93,375.91",86.88,0.09,"91,426.66",97.91,"91,513.54",98.01,64.1,,0.07,P 1
2024,Sulawesi Tenggara,Kota Bau Bau,"33,215.00","5,907.89",17.79,"26,645.00",80.22,"32,552.89",98.01,"5,799.85",,17.46,P 1
2024,Gorontalo,Kab. Bone Bolango,"20,753.66","1,857.81",8.95,"5,189.90",25.01,"7,047.71",33.96,711.82,262.4,4.69,P 1
2024,Gorontalo,Kota Gorontalo,"52,073.97","11,831.70",22.72,"36,682.50",70.44,"48,514.20",93.16,"11,451.24",182.5,22.34,P 1
2024,Sulawesi Barat,Kab. Pasangkayu,"29,815.54",104.39,0.35,"4,403.36",14.77,"4,507.75",15.12,104.39,23.36,0.43,P 1
2024,Sulawesi Barat,Kab. Mamuju,"53,362.09",449.41,0.84,"4,901.95",9.19,"5,351.36",10.03,382.48,,0.72,P 1
2024,Sulawesi Barat,Kab. Majene,"26,478.56",599.02,2.26,"8,250.82",31.16,"8,849.84",33.42,522.28,,1.97,P 1
2024,Maluku,Kab. Buru,"23,572.50",732.19,3.11,"3,974.85",16.86,"4,707.04",19.97,732.19,,3.11,P 1
2024,Maluku,Kab. Seram Bagian Barat,"31,738.79",445.49,1.4,"1,357.80",4.28,"1,803.29",5.68,445.49,,1.4,P 1
2024,Maluku,Kota Ambon,"90,460.29","2,437.80",2.69,"61,393.00",67.87,"63,830.80",70.56,"2,373.10",,2.62,P 1
2024,Maluku,Kota Tual,"23,315.65",278.24,1.19,"14,235.00",61.05,"14,513.24",62.25,0,,0,P 1
2024,Maluku Utara,Kab. Halmahera Tengah,"15,549.00",0,0,"11,183.78",71.93,"11,183.78",71.93,,,0,P 1
2024,Maluku Utara,Kab. Halmahera Selatan,"37,286.06",0,0,"20,841.85",55.9,"20,841.85",55.9,,4,0.01,P 1
2024,Maluku Utara,Kab. Kepulauan Sula,"24,933.79",0,0,"8,672.40",34.78,"8,672.40",34.78,0,,0,P 1
2024,Maluku Utara,Kab. Halmahera Timur,"19,652.42",0,0,"15,727.16",80.03,"15,727.16",80.03,,,0,P 1
2024,Maluku Utara,Kab. Pulau Morotai,"11,951.56",0,0,"3,819.47",31.96,"3,819.47",31.96,,,0,P 1
2024,Maluku Utara,Kab. Pulau Taliabu,"11,915.61",0,0,843.15,7.08,843.15,7.08,,,0,P 1
2024,Papua,Kab. Jayapura,"37,188.39","1,088.49",2.93,"19,994.70",53.77,"21,083.19",56.69,"1,069.45",,2.88,P 1
2024,Papua,Kab. Kepulauan Yapen,"16,951.62",,,"13,008.60",76.74,"13,008.60",76.74,,,0,P 1
2024,Papua,Kab. Biak Numfor,"21,664.65","3,750.73",17.31,"17,282.75",79.77,"21,033.48",97.09,"3,540.42",18.25,16.43,P 1
2024,Papua,Kab. Sarmi,"6,205.00",0,0,"2,168.10",34.94,"2,168.10",34.94,,,0,P 1
2024,Papua Barat,Kab. Manokwari,"76,650.00","1,095.00",1.43,"25,550.00",33.33,"26,645.00",34.76,"1,095.00",,1.43,P 1
2024,Papua Barat,Kab. Fak Fak,"13,164.97",69.75,0.53,"5,781.60",43.92,"5,851.35",44.45,68.41,,0.52,P 1
2024,Papua Barat,Kab. Teluk Wondama,"6,501.96",331.79,5.1,"2,890.80",44.46,"3,222.59",49.56,331.79,,5.1,P 1
2024,Papua Barat,Kab. Kaimana,"9,731.63",112.26,1.15,"4,456.65",45.8,"4,568.91",46.95,104.76,,1.08,P 1
2024,Papua Selatan,Kab. Boven Digoel,"9,518.18",102.2,1.07,"2,920.00",30.68,"3,022.20",31.75,102.2,,1.07,P 1
2024,Papua Selatan,Kab. Asmat,"17,305.38",181.72,1.05,"3,467.50",20.04,"3,649.22",21.09,153.3,,0.89,P 1
2024,Papua Tengah,Kab. Nabire,"25,466.34",34.97,0.14,"11,117.90",43.66,"11,152.87",43.79,28.03,,0.11,P 1
2024,Papua Tengah,Kab. Mimika,"57,125.42",862.86,1.51,"29,742.90",52.07,"30,605.76",53.58,862.86,18.25,1.54,P 1
2024,Papua Tengah,Kab. Dogiyai,"17,201.43",0,0,,,0,0,,,0,P 1
2024,Papua Pegunungan,Kab. Jayawijaya,"41,244.56",54.75,0.13,"10,840.50",26.28,"10,895.25",26.42,54.75,,0.13,P 1
2024,Papua Barat Daya,Kab. Sorong,"18,974.60","1,990.00",10.49,"5,887.45",31.03,"7,877.45",41.52,"1,295.89",,6.83,P 1
2024,Papua Barat Daya,Kab. Sorong Selatan,"7,738.00",0,0,"1,277.50",16.51,"1,277.50",16.51,,,0,P 1
2024,Papua Barat Daya,Kab. Raja Ampat,"10,001.00",55.77,0.56,"2,649.90",26.5,"2,705.67",27.05,43.96,,0.44,P 1
