Tahun,Provinsi,Kabupaten/Kota,Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%)
2024,Sulawesi Tengah,Kota Palu,70.96,0.77,9.44,10.43,1.90,1.06,0.60,0.59,4.25
2024,Sulawesi Selatan,Kab. Kepulauan Selayar,,,,,,,,,
2024,Sulawesi Selatan,Kab. Bulukumba,29.30,30.21,9.23,18.26,4.38,2.71,3.76,2.15,
2024,Sulawesi Selatan,Kab. Bantaeng,30.13,27.50,11.00,14.00,1.24,3.00,2.00,1.13,10.00
2024,Sulawesi Selatan,Kab. Bone,39.30,13.10,11.50,19.20,3.40,2.30,2.00,2.00,7.20
2024,Sulawesi Selatan,Kab. Maros,,,,,,,,,
2024,Sulawesi Selatan,Kab. Pangkajene dan Kepulauan,63.13,10.83,8.99,7.29,6.50,0.72,0.19,1.55,0.80
2024,Sulawesi Selatan,Kab. Barru,61.80,8.00,6.20,15.70,1.80,1.00,1.00,1.00,3.50
2024,Sulawesi Selatan,Kab. Soppeng,53.00,7.00,14.00,20.00,2.20,0.70,2.00,0.30,0.80
2024,Sulawesi Selatan,Kab. Sidenreng Rappang,41.40,13.20,10.90,18.50,3.00,2.60,2.00,2.00,6.40
2024,Sulawesi Selatan,Kab. Pinrang,,,,,,,,,
2024,Sulawesi Selatan,Kab. Tana Toraja,,,,,,,,,
2024,Sulawesi Selatan,Kab. Luwu Utara,65.00,10.00,9.00,2.00,1.00,1.00,1.00,1.00,10.00
2024,Sulawesi Selatan,Kab. Luwu Timur,40.00,10.00,25.00,15.00,3.00,1.50,2.00,2.00,1.50
2024,Sulawesi Selatan,Kab. Toraja Utara,,,,,,,,,
2024,Sulawesi Selatan,Kota Makassar,,,21.00,25.00,6.00,,2.00,3.00,3.00
2024,Sulawesi Selatan,Kota Parepare,52.20,11.60,11.80,12.20,2.70,1.90,2.25,2.65,2.70
2024,Sulawesi Selatan,Kota Palopo,40.00,12.00,15.00,22.00,3.00,1.00,1.00,2.00,4.00
2024,Sulawesi Tenggara,Kab. Kolaka,65.00,5.00,10.00,10.00,5.00,1.00,1.00,2.00,1.00
2024,Sulawesi Tenggara,Kab. Muna,47.00,9.00,12.00,23.00,2.00,2.00,2.00,2.00,1.00
2024,Sulawesi Tenggara,Kab. Konawe Utara,,,,,,,,,
2024,Sulawesi Tenggara,Kab. Kolaka Timur,30.00,20.00,10.00,25.00,1.00,3.00,8.00,2.00,1.00
2024,Sulawesi Tenggara,Kab. Buton Selatan,65.83,3.36,4.52,12.48,1.44,3.79,1.95,1.89,4.74
2024,Sulawesi Tenggara,Kota Kendari,52.19,12.69,9.36,12.16,1.55,1.30,1.65,1.87,7.23
2024,Sulawesi Tenggara,Kota Bau Bau,0.48,6.21,4.62,14.59,4.12,,,,69.98
2024,Gorontalo,Kab. Bone Bolango,19.00,8.00,16.00,28.00,20.00,2.00,7.00,,
2024,Gorontalo,Kota Gorontalo,,,,,,,,,
2024,Sulawesi Barat,Kab. Pasangkayu,30.00,12.00,20.00,15.00,7.00,8.00,5.00,1.10,
2024,Sulawesi Barat,Kab. Mamuju,,,,,,,,,
2024,Sulawesi Barat,Kab. Majene,,,,,,,,,
2024,Maluku,Kab. Buru,,,,,,,,,
2024,Maluku,Kab. Seram Bagian Barat,,,,,,,,,
2024,Maluku,Kota Ambon,,,,,,,,,
2024,Maluku,Kota Tual,,,,,,,,,
2024,Maluku Utara,Kab. Halmahera Tengah,,,,,,,,,
2024,Maluku Utara,Kab. Halmahera Selatan,,,,,,,,,
2024,Maluku Utara,Kab. Kepulauan Sula,,,,,,,,,
2024,Maluku Utara,Kab. Halmahera Timur,,,,,,,,,
2024,Maluku Utara,Kab. Pulau Morotai,,,,,,,,,
2024,Maluku Utara,Kab. Pulau Taliabu,,,,,,,,,
2024,Papua,Kab. Jayapura,35.00,2.00,24.00,29.31,4.33,0.50,1.06,0.80,3.00
2024,Papua,Kab. Kepulauan Yapen,,,,,,,,,
2024,Papua,Kab. Biak Numfor,13.00,8.00,7.50,15.00,25.00,6.50,9.50,10.00,5.50
2024,Papua,Kab. Sarmi,,,,,,,,,
2024,Papua Barat,Kab. Manokwari,44.00,2.00,11.00,26.00,,,,,17.00
2024,Papua Barat,Kab. Fak Fak,,,,,,,,,
2024,Papua Barat,Kab. Teluk Wondama,15.00,,15.00,26.00,,,,,44.00
2024,Papua Barat,Kab. Kaimana,20.00,10.00,10.00,30.00,15.00,5.00,2.00,3.00,5.00
2024,Papua Selatan,Kab. Boven Digoel,5.00,5.00,20.00,60.00,2.00,1.00,1.00,2.00,4.00
2024,Papua Selatan,Kab. Asmat,20.00,11.80,15.00,40.00,4.00,2.40,3.00,1.80,2.00
2024,Papua Tengah,Kab. Nabire,23.00,10.00,8.00,27.00,6.00,5.00,5.00,7.00,9.00
2024,Papua Tengah,Kab. Mimika,0.01,0.02,0.01,0.02,0.01,,,,0.93
2024,Papua Tengah,Kab. Dogiyai,10.00,60.00,3.00,15.00,5.00,1.00,0.20,0.20,
2024,Papua Pegunungan,Kab. Jayawijaya,,,,,,,,,
2024,Papua Barat Daya,Kab. Sorong,,,,,,,,,
2024,Papua Barat Daya,Kab. Sorong Selatan,,,,,,,,,
2024,Papua Barat Daya,Kab. Raja Ampat,11.00,9.00,21.00,25.00,15.00,7.00,3.00,7.00,2.00
